103 95 136 | 89 98
117 100 420 | 87 93
99 97 111 | 85 100
117 100 471 | 91 91
117 100 229 | 91 91
117 100 408 | 103 95
117 100 340 | 117 100
99 97 13 | 91 91
109 99 162 | 99 97
117 100 626 | 109 99
103 95 236 | 92 95
117 100 451 | 83 90
117 100 235 | 87 93
106 100 21 | 89 98
117 100 551 | 117 100
117 100 326 | 98 93
109 99 140 | 83 90
117 100 657 | 117 100
117 100 72 | 83 90
117 100 696 | 117 100
109 99 414 | 105 96
109 99 344 | 83 90
109 99 66 | 99 97
117 100 286 | 89 98
117 100 367 | 117 100
109 99 456 | 84 88
109 99 424 | 99 97
117 100 150 | 98 93
109 99 508 | 91 91
106 100 377 | 80 91
106 100 1 | 106 100
109 99 164 | 91 91
109 99 450 | 98 93
117 100 48 | 105 96
117 100 240 | 80 91
117 100 8 | 90 92
117 100 40 | 99 97
109 99 464 | 91 91
117 100 622 | 109 99
117 100 70 | 98 93
117 100 190 | 85 100
117 100 244 | 89 98
117 100 497 | 98 93
105 96 442 | 85 100
105 96 632 | 105 96
105 96 4 | 98 93
117 100 284 | 85 95
117 100 512 | 89 98
117 100 236 | 92 95
105 96 82 | 105 96
109 99 603 | 109 99
117 100 134 | 89 98
117 100 371 | 79 85
105 96 569 | 92 95
117 100 135 | 98 93
109 99 98 | 103 95
109 99 589 | 105 96
109 99 18 | 98 93
117 100 437 | 84 88
117 100 44 | 98 93
117 100 130 | 77 86
117 100 424 | 105 96
117 100 455 | 117 100
117 100 593 | 85 100
109 99 182 | 98 93
103 95 502 | 103 95
106 100 221 | 79 85
109 99 188 | 77 81
109 99 284 | 73 88
106 100 458 | 98 93
106 100 163 | 89 98
109 99 365 | 85 100
106 100 590 | 103 95
117 100 779 | 117 100
117 100 386 | 92 95
103 95 636 | 103 95
117 100 528 | 99 97
117 100 198 | 73 88
106 100 632 | 106 100
117 100 246 | 105 96
105 96 496 | 78 98
103 95 269 | 73 88
109 99 28 | 97 95
103 95 501 | 99 97
117 100 655 | 117 100
117 100 508 | 76 69
109 99 492 | 85 100
109 99 380 | 103 95
109 99 464 | 90 92
117 100 544 | 89 98
117 100 714 | 117 100
99 97 623 | 99 97
109 99 178 | 77 81
117 100 508 | 78 98
105 96 646 | 105 96
117 100 506 | 91 91
105 96 57 | 85 100
117 100 188 | 91 91
117 100 410 | 91 91
117 100 493 | 87 93
