117 100 834 | 0 172
109 99 574 | 0 245
117 100 78 | 0 289
117 100 948 | 0 344
117 100 745 | 0 252
91 91 592 | 0 375
103 95 248 | 0 306
117 100 130 | 0 397
109 99 326 | 0 343
117 100 720 | 0 264
117 100 616 | 0 227
103 95 258 | 77 81
117 100 2 | 0 246
117 100 554 | 0 203
105 96 286 | 0 294
109 99 256 | 0 131
117 100 88 | 0 444
106 100 403 | 103 95
109 99 164 | 0 221
106 100 651 | 0 286
117 100 444 | 0 268
117 100 666 | 0 318
117 100 486 | 0 128
117 100 4 | 89 98
109 99 72 | 0 227
117 100 194 | 76 69
109 99 833 | 77 86
117 100 208 | 0 307
106 100 829 | 0 286
117 100 560 | 109 99
117 100 886 | 0 306
106 100 589 | 0 230
117 100 94 | 0 273
109 99 408 | 0 203
117 100 993 | 117 100
117 100 836 | 0 207
109 99 939 | 89 98
117 100 108 | 0 275
117 100 744 | 0 271
117 100 199 | 0 299
117 100 999 | 117 100
103 95 389 | 0 235
117 100 178 | 91 91
117 100 100 | 0 330
117 100 198 | 0 318
105 96 50 | 0 146
109 99 118 | 92 95
109 99 574 | 0 354
117 100 226 | 0 345
109 99 168 | 85 95
117 100 290 | 0 307
105 96 320 | 0 273
117 100 108 | 0 227
117 100 496 | 0 128
117 100 58 | 106 100
117 100 170 | 98 93
117 100 236 | 66 67
117 100 312 | 0 295
117 100 803 | 0 264
117 100 306 | 0 199
106 100 291 | 0 309
117 100 175 | 0 411
106 100 45 | 65 69
106 100 675 | 0 224
109 99 546 | 77 81
117 100 42 | 0 269
117 100 10 | 0 290
106 100 73 | 0 346
117 100 126 | 0 173
106 100 627 | 0 143
106 100 165 | 0 252
106 100 1 | 83 90
109 99 599 | 91 91
117 100 648 | 0 235
105 96 870 | 59 52
117 100 234 | 0 328
109 99 210 | 73 70
117 100 614 | 0 346
117 100 132 | 0 229
109 99 302 | 0 242
117 100 172 | 0 251
117 100 678 | 0 254
105 96 778 | 0 158
106 100 541 | 0 139
117 100 399 | 0 293
117 100 330 | 0 253
109 99 751 | 0 449
117 100 926 | 105 96
117 100 143 | 0 276
117 100 112 | 0 492
109 99 892 | 0 221
117 100 282 | 0 268
117 100 872 | 0 199
117 100 342 | 0 307
117 100 844 | 0 143
109 99 465 | 0 147
117 100 4 | 0 214
117 100 350 | 106 100
117 100 174 | 0 312
117 100 413 | 0 266
117 100 300 | 0 356
117 100 975 | 0 240
109 99 178 | 0 428
117 100 746 | 0 273
106 100 784 | 0 333
117 100 342 | 0 279
109 99 675 | 0 401
117 100 400 | 91 78
117 100 455 | 0 194
117 100 281 | 0 236
117 100 979 | 0 423
117 100 501 | 0 311
117 100 914 | 0 428
117 100 681 | 0 306
117 100 86 | 77 86
105 96 980 | 0 145
117 100 332 | 90 92
117 100 401 | 0 195
117 100 48 | 0 342
106 100 141 | 0 349
109 99 138 | 0 375
117 100 178 | 0 187
106 100 863 | 0 209
117 100 382 | 0 206
117 100 140 | 0 360
117 100 854 | 0 214
105 96 942 | 0 228
109 99 492 | 0 220
109 99 460 | 90 92
103 95 442 | 77 81
117 100 625 | 0 404
117 100 238 | 0 425
117 100 586 | 0 256
