106 100 1124 | 99 97
117 100 801 | 85 100
117 100 181 | 92 95
117 100 1662 | 117 100
117 100 76 | 109 99
117 100 658 | 79 85
117 100 14 | 97 95
117 100 1392 | 87 93
117 100 158 | 83 90
117 100 560 | 105 96
106 100 39 | 91 91
117 100 18 | 105 96
117 100 758 | 98 93
117 100 837 | 89 98
117 100 1602 | 117 100
117 100 1600 | 92 95
117 100 894 | 91 91
117 100 1161 | 87 93
117 100 29 | 117 100
109 99 1216 | 105 96
117 100 306 | 85 95
109 99 737 | 91 91
117 100 851 | 91 91
117 100 229 | 89 98
117 100 375 | 98 93
117 100 126 | 85 100
105 96 651 | 90 92
117 100 1306 | 117 100
117 100 1438 | 98 93
117 100 456 | 117 100
117 100 1663 | 117 100
117 100 1232 | 90 92
117 100 133 | 91 91
117 100 434 | 87 93
117 100 538 | 80 91
117 100 172 | 91 91
117 100 989 | 99 97
117 100 1417 | 117 100
117 100 246 | 85 95
117 100 103 | 105 96
117 100 373 | 77 81
117 100 473 | 105 96
109 99 1495 | 91 91
117 100 1188 | 98 93
117 100 1097 | 83 90
117 100 548 | 117 100
117 100 1386 | 105 96
117 100 846 | 109 99
109 99 526 | 83 90
117 100 1755 | 117 100
106 100 1597 | 106 100
117 100 861 | 105 96
117 100 1214 | 105 96
117 100 1040 | 76 69
117 100 782 | 87 93
117 100 465 | 106 100
117 100 786 | 106 100
109 99 93 | 91 91
117 100 309 | 99 97
117 100 91 | 117 100
117 100 1264 | 109 99
117 100 1201 | 106 100
117 100 1152 | 117 100
117 100 1598 | 117 100
117 100 80 | 105 96
117 100 545 | 117 100
117 100 1428 | 117 100
117 100 985 | 84 88
117 100 314 | 117 100
117 100 572 | 106 100
117 100 1063 | 99 97
117 100 1322 | 92 95
117 100 1249 | 85 100
109 99 1548 | 91 91
117 100 1485 | 85 95
117 100 490 | 117 100
117 100 917 | 83 90
117 100 1004 | 99 97
117 100 692 | 103 95
117 100 1452 | 117 100
117 100 750 | 109 99
117 100 1388 | 91 91
109 99 184 | 106 100
117 100 106 | 106 100
117 100 995 | 80 91
117 100 420 | 84 88
109 99 828 | 91 91
117 100 739 | 105 96
117 100 243 | 103 95
117 100 1315 | 89 98
117 100 505 | 98 93
117 100 1071 | 92 95
117 100 258 | 85 95
117 100 1286 | 77 81
117 100 266 | 87 93
117 100 1554 | 117 100
117 100 1274 | 91 91
103 95 690 | 98 93
117 100 797 | 89 98
109 99 401 | 106 100
117 100 1074 | 105 96
117 100 777 | 99 97
117 100 762 | 105 96
117 100 750 | 90 92
117 100 246 | 105 96
117 100 452 | 117 100
117 100 647 | 105 96
117 100 219 | 89 98
117 100 210 | 106 100
117 100 353 | 91 91
117 100 1326 | 117 100
109 99 614 | 99 97
117 100 1139 | 109 99
117 100 1333 | 105 96
117 100 1398 | 117 100
117 100 1533 | 76 69
117 100 9 | 85 95
117 100 418 | 105 96
117 100 183 | 97 95
117 100 511 | 103 95
117 100 247 | 117 100
117 100 760 | 80 91
117 100 1482 | 105 96
117 100 1251 | 92 95
117 100 289 | 117 100
117 100 290 | 91 91
117 100 694 | 109 99
117 100 1265 | 89 98
117 100 1458 | 97 95
109 99 909 | 97 95
117 100 480 | 91 91
117 100 564 | 98 93
117 100 1108 | 83 90
117 100 49 | 117 100
117 100 822 | 105 96
117 100 474 | 79 85
109 99 1274 | 92 95
117 100 53 | 91 91
117 100 938 | 91 91
117 100 1088 | 78 98
109 99 1605 | 91 91
117 100 314 | 117 100
117 100 1063 | 98 93
117 100 147 | 117 100
109 99 1085 | 91 91
117 100 7 | 106 100
117 100 1694 | 117 100
117 100 1129 | 117 100
117 100 29 | 117 100
117 100 325 | 87 93
117 100 880 | 97 95
109 99 217 | 91 91
117 100 262 | 117 100
117 100 1427 | 109 99
117 100 212 | 98 93
117 100 896 | 78 98
117 100 1381 | 99 97
117 100 1330 | 117 100
117 100 512 | 117 100
117 100 1254 | 98 93
117 100 707 | 106 100
117 100 404 | 99 97
117 100 1096 | 106 100
117 100 1287 | 117 100
117 100 712 | 85 95
117 100 1410 | 98 93
117 100 972 | 99 97
117 100 286 | 90 92
117 100 1475 | 97 95
117 100 649 | 109 99
117 100 1392 | 97 95
117 100 1517 | 117 100
117 100 1359 | 109 99
109 99 547 | 91 91
117 100 249 | 105 96
117 100 167 | 99 97
117 100 1224 | 90 92
106 100 116 | 97 95
117 100 41 | 109 99
109 99 99 | 85 95
117 100 1214 | 84 88
117 100 1157 | 105 96
106 100 1259 | 80 91
109 99 652 | 98 93
117 100 819 | 89 98
117 100 348 | 106 100
117 100 352 | 77 86
117 100 440 | 89 98
117 100 678 | 105 96
117 100 154 | 76 69
117 100 1439 | 105 96
117 100 564 | 105 96
106 100 239 | 77 81
117 100 864 | 99 97
117 100 315 | 117 100
117 100 548 | 92 95
109 99 7 | 89 98
117 100 502 | 90 92
109 99 416 | 97 95
117 100 488 | 91 91
117 100 927 | 117 100
117 100 1716 | 117 100
117 100 81 | 91 91
117 100 500 | 90 92
117 100 6 | 105 96
106 100 1313 | 92 95
117 100 38 | 105 96
117 100 1469 | 109 99
117 100 1333 | 78 98
117 100 243 | 105 96
117 100 183 | 105 96
117 100 1562 | 109 99
117 100 84 | 87 93
117 100 588 | 85 100
117 100 486 | 80 91
117 100 14 | 91 91
117 100 1536 | 103 95
109 99 24 | 78 98
117 100 540 | 98 93
109 99 687 | 97 95
