117 100 603 | 91 91
117 100 276 | 105 96
117 100 406 | 97 95
109 99 894 | 87 93
117 100 694 | 87 93
117 100 2116 | 76 69
117 100 1090 | 0 280
117 100 2124 | 0 226
117 100 90 | 0 257
117 100 753 | 0 380
117 100 110 | 0 155
109 99 702 | 109 99
117 100 140 | 0 348
117 100 622 | 0 232
117 100 1040 | 0 271
117 100 2992 | 0 203
109 99 418 | 77 86
117 100 236 | 83 90
117 100 614 | 77 86
117 100 798 | 0 214
117 100 574 | 0 279
117 100 282 | 0 239
117 100 1219 | 97 95
117 100 643 | 0 162
117 100 472 | 109 99
117 100 813 | 0 267
117 100 236 | 79 85
117 100 866 | 0 368
117 100 8 | 0 213
117 100 2415 | 105 96
117 100 1212 | 0 305
117 100 2026 | 0 259
117 100 458 | 0 356
117 100 1225 | 0 264
117 100 2426 | 0 302
117 100 298 | 0 323
117 100 788 | 0 243
117 100 1428 | 105 96
117 100 820 | 0 154
117 100 224 | 0 355
117 100 276 | 106 100
117 100 176 | 0 220
117 100 1116 | 0 437
117 100 871 | 79 85
117 100 130 | 0 191
117 100 262 | 0 381
117 100 108 | 89 98
117 100 514 | 0 141
117 100 304 | 0 276
117 100 152 | 0 343
117 100 765 | 0 106
117 100 76 | 91 91
117 100 410 | 77 86
117 100 1253 | 0 250
117 100 172 | 0 273
117 100 1164 | 0 162
117 100 980 | 0 154
117 100 1335 | 0 157
117 100 224 | 0 330
117 100 702 | 0 326
109 99 24 | 0 290
117 100 850 | 79 85
117 100 20 | 0 217
117 100 12 | 98 93
117 100 44 | 103 95
117 100 530 | 0 214
117 100 1274 | 0 350
117 100 2091 | 92 95
117 100 1468 | 0 240
106 100 512 | 0 261
117 100 1928 | 0 319
117 100 320 | 0 269
117 100 6 | 0 437
117 100 1380 | 0 353
117 100 498 | 0 366
117 100 274 | 0 188
117 100 438 | 0 280
117 100 1787 | 0 309
117 100 424 | 117 100
117 100 944 | 0 134
117 100 1169 | 79 85
117 100 1261 | 0 214
117 100 2960 | 0 304
117 100 236 | 0 288
117 100 342 | 0 352
117 100 588 | 0 321
117 100 372 | 0 231
117 100 1724 | 0 313
117 100 304 | 84 88
117 100 1750 | 89 98
117 100 155 | 0 273
117 100 188 | 91 91
117 100 24 | 117 100
117 100 782 | 98 93
117 100 806 | 0 236
109 99 1141 | 0 262
117 100 98 | 0 162
117 100 986 | 0 131
117 100 98 | 83 90
117 100 659 | 117 100
117 100 1160 | 0 323
117 100 1070 | 83 90
117 100 1692 | 0 316
117 100 154 | 0 243
117 100 2506 | 0 252
117 100 1470 | 0 195
117 100 4 | 91 91
117 100 26 | 0 423
117 100 484 | 0 192
109 99 1000 | 90 92
117 100 1628 | 0 352
109 99 388 | 99 97
117 100 260 | 0 221
117 100 2143 | 0 164
117 100 78 | 0 217
117 100 1725 | 0 320
117 100 1418 | 0 211
117 100 200 | 0 352
117 100 102 | 0 296
117 100 1428 | 79 85
117 100 1602 | 0 186
117 100 935 | 0 236
117 100 220 | 90 92
117 100 298 | 0 356
117 100 2530 | 0 299
117 100 888 | 0 201
117 100 286 | 0 320
117 100 470 | 73 88
117 100 1888 | 89 98
117 100 982 | 109 99
117 100 1218 | 71 77
117 100 246 | 0 225
117 100 2290 | 0 307
117 100 712 | 0 180
117 100 2359 | 80 91
117 100 468 | 80 91
117 100 2384 | 85 100
117 100 2388 | 0 191
117 100 788 | 0 228
117 100 1522 | 0 246
117 100 242 | 0 176
117 100 460 | 0 401
117 100 72 | 83 90
117 100 52 | 0 349
117 100 530 | 79 85
117 100 32 | 84 88
117 100 768 | 0 154
117 100 90 | 0 326
117 100 1182 | 91 91
