117 100 176 | 84 88
117 100 164 | 98 93
106 100 524 | 105 96
106 100 22 | 98 93
109 99 106 | 105 96
109 99 209 | 78 98
117 100 511 | 97 95
105 96 81 | 87 93
117 100 532 | 91 91
117 100 603 | 117 100
117 100 41 | 85 95
99 97 10 | 77 86
117 100 119 | 87 93
117 100 462 | 98 93
117 100 380 | 85 100
117 100 629 | 117 100
105 96 452 | 90 92
117 100 28 | 117 100
106 100 50 | 85 95
117 100 301 | 106 100
106 100 308 | 91 91
117 100 34 | 90 92
106 100 403 | 89 98
109 99 239 | 98 93
117 100 227 | 97 95
117 100 549 | 109 99
105 96 634 | 105 96
117 100 55 | 105 96
103 95 428 | 99 97
117 100 568 | 91 91
109 99 10 | 85 100
117 100 81 | 117 100
103 95 304 | 99 97
98 93 376 | 83 90
98 93 41 | 91 91
106 100 512 | 89 98
109 99 669 | 109 99
117 100 815 | 117 100
103 95 8 | 85 100
117 100 358 | 83 90
117 100 466 | 78 98
91 91 324 | 89 98
117 100 227 | 89 98
106 100 299 | 84 88
109 99 340 | 97 95
117 100 34 | 117 100
106 100 317 | 83 90
97 95 53 | 89 98
92 95 199 | 90 92
109 99 258 | 106 100
117 100 634 | 117 100
117 100 566 | 91 91
117 100 611 | 103 95
109 99 494 | 77 86
106 100 497 | 92 95
117 100 446 | 103 95
103 95 87 | 85 100
109 99 274 | 105 96
99 97 282 | 85 95
117 100 443 | 117 100
109 99 232 | 92 95
117 100 631 | 117 100
117 100 570 | 117 100
109 99 379 | 91 91
117 100 586 | 87 93
117 100 6 | 84 88
99 97 317 | 91 91
117 100 356 | 91 91
103 95 373 | 84 88
117 100 515 | 83 90
117 100 379 | 109 99
98 93 388 | 84 88
117 100 310 | 106 100
109 99 327 | 90 92
117 100 569 | 97 95
117 100 28 | 105 96
109 99 676 | 109 99
106 100 45 | 91 91
117 100 565 | 83 90
105 96 313 | 98 93
117 100 520 | 76 69
97 95 545 | 77 81
109 99 346 | 98 93
109 99 233 | 78 98
117 100 715 | 117 100
117 100 300 | 117 100
106 100 179 | 105 96
109 99 575 | 103 95
109 99 481 | 109 99
