117 100 91 | 0 333
117 100 261 | 0 273
117 100 1898 | 0 191
117 100 2687 | 0 152
117 100 903 | 0 295
117 100 1222 | 0 216
117 100 92 | 0 323
117 100 589 | 72 71
117 100 687 | 0 315
117 100 557 | 79 85
117 100 2527 | 106 100
117 100 1214 | 0 217
117 100 2549 | 87 93
117 100 1808 | 0 245
117 100 55 | 79 85
117 100 560 | 0 196
117 100 381 | 0 337
117 100 253 | 78 98
117 100 233 | 83 90
117 100 1064 | 109 99
117 100 89 | 0 368
117 100 1873 | 0 416
117 100 804 | 83 90
117 100 2710 | 78 98
117 100 1871 | 0 212
117 100 2088 | 0 285
117 100 848 | 0 397
117 100 633 | 0 224
117 100 927 | 0 200
117 100 1727 | 106 100
117 100 284 | 0 256
117 100 335 | 0 257
117 100 657 | 0 314
117 100 158 | 0 401
117 100 339 | 98 93
117 100 349 | 91 91
117 100 187 | 71 77
117 100 1613 | 0 284
117 100 1527 | 0 323
117 100 58 | 0 191
117 100 997 | 0 389
117 100 234 | 0 196
109 99 212 | 0 155
106 100 123 | 91 91
117 100 953 | 0 425
117 100 1458 | 0 301
109 99 269 | 0 345
117 100 1520 | 0 255
117 100 85 | 0 212
117 100 1579 | 0 162
109 99 2046 | 0 246
117 100 1701 | 0 294
117 100 1123 | 0 165
117 100 771 | 0 272
117 100 449 | 0 162
117 100 139 | 0 375
117 100 366 | 78 98
109 99 1853 | 91 91
117 100 734 | 0 326
117 100 1652 | 85 74
117 100 126 | 0 299
117 100 134 | 0 166
117 100 1607 | 0 301
117 100 697 | 92 95
117 100 53 | 0 245
117 100 324 | 0 169
117 100 1114 | 85 95
117 100 849 | 0 471
117 100 18 | 83 90
117 100 0 | 0 240
117 100 15 | 0 349
117 100 54 | 0 187
109 99 71 | 0 187
117 100 105 | 0 294
117 100 526 | 0 288
117 100 392 | 0 295
117 100 68 | 106 100
117 100 391 | 0 290
117 100 889 | 0 276
117 100 8 | 0 416
117 100 427 | 98 93
117 100 494 | 0 236
117 100 142 | 0 264
117 100 1456 | 73 88
117 100 206 | 0 285
117 100 762 | 106 100
117 100 867 | 0 193
117 100 1500 | 92 95
117 100 265 | 0 258
117 100 396 | 79 85
117 100 39 | 91 91
117 100 410 | 0 394
117 100 45 | 0 259
117 100 263 | 0 444
117 100 2271 | 0 325
117 100 1494 | 79 85
117 100 768 | 0 425
117 100 211 | 0 210
117 100 1229 | 80 91
117 100 631 | 0 207
117 100 774 | 0 257
117 100 976 | 0 342
109 99 1471 | 0 349
117 100 2384 | 0 216
117 100 409 | 0 293
117 100 25 | 0 233
117 100 2460 | 0 492
117 100 773 | 0 168
117 100 462 | 0 230
117 100 1466 | 0 207
117 100 304 | 0 307
117 100 634 | 99 97
117 100 374 | 0 286
117 100 584 | 0 260
117 100 856 | 0 378
117 100 612 | 0 258
117 100 753 | 89 98
109 99 321 | 0 373
117 100 1186 | 0 138
109 99 98 | 0 273
109 99 113 | 0 243
117 100 1577 | 105 96
117 100 453 | 91 91
117 100 598 | 84 88
117 100 279 | 117 100
117 100 179 | 85 95
109 99 1537 | 0 272
117 100 193 | 85 95
117 100 428 | 83 90
117 100 2334 | 0 300
117 100 2492 | 0 260
117 100 243 | 0 228
117 100 741 | 103 95
117 100 534 | 0 219
117 100 408 | 0 195
117 100 66 | 0 210
117 100 1007 | 0 400
117 100 971 | 97 95
117 100 1302 | 78 98
117 100 2175 | 0 280
117 100 505 | 0 214
117 100 1702 | 77 86
117 100 296 | 105 96
109 99 183 | 89 98
117 100 183 | 0 207
117 100 801 | 77 73
117 100 1931 | 77 81
117 100 166 | 0 371
117 100 1690 | 98 93
117 100 1213 | 0 312
117 100 269 | 0 160
117 100 621 | 0 214
117 100 644 | 0 276
117 100 2551 | 87 93
109 99 2741 | 103 95
117 100 777 | 0 331
117 100 186 | 103 95
117 100 364 | 0 294
109 99 691 | 0 223
117 100 245 | 117 100
117 100 587 | 0 218
117 100 655 | 0 262
117 100 80 | 0 328
117 100 356 | 0 304
117 100 1176 | 117 100
117 100 443 | 90 92
117 100 1502 | 103 95
117 100 2005 | 0 327
109 99 632 | 0 257
117 100 2431 | 72 71
117 100 109 | 0 147
117 100 1469 | 91 91
109 99 287 | 0 276
117 100 1244 | 0 185
117 100 2017 | 0 212
117 100 258 | 59 52
117 100 569 | 0 198
117 100 583 | 0 363
117 100 1104 | 0 371
117 100 73 | 0 290
117 100 233 | 0 183
117 100 554 | 0 348
117 100 1302 | 0 378
117 100 67 | 0 306
117 100 102 | 98 93
117 100 79 | 99 97
117 100 2222 | 109 99
117 100 502 | 106 100
117 100 102 | 87 93
109 99 1187 | 85 95
117 100 815 | 0 328
109 99 56 | 0 382
117 100 306 | 0 392
117 100 2161 | 0 295
117 100 1132 | 0 264
117 100 161 | 0 371
109 99 45 | 105 96
117 100 180 | 0 186
117 100 658 | 77 86
117 100 421 | 58 66
117 100 623 | 87 93
117 100 1128 | 103 95
117 100 22 | 0 325
109 99 994 | 0 235
109 99 1757 | 0 349
117 100 316 | 73 88
117 100 1363 | 0 231
117 100 120 | 105 96
117 100 2011 | 0 233
117 100 308 | 0 245
117 100 348 | 73 88
117 100 1143 | 78 98
117 100 1549 | 0 290
117 100 17 | 0 342
109 99 86 | 0 172
117 100 1876 | 0 347
117 100 1972 | 0 168
117 100 2564 | 76 69
117 100 865 | 0 256
117 100 148 | 0 253
117 100 107 | 0 169
117 100 770 | 0 228
117 100 521 | 0 277
117 100 413 | 0 202
117 100 1397 | 73 70
117 100 23 | 0 306
117 100 272 | 0 385
117 100 2940 | 91 91
117 100 1751 | 0 223
109 99 2140 | 105 96
109 99 1991 | 0 359
117 100 370 | 0 353
117 100 1807 | 98 93
117 100 176 | 0 120
117 100 464 | 0 302
117 100 410 | 0 302
117 100 2647 | 0 325
